
item_id,avg_rebuy_cycle,rebuy_cnt
331823501,0.0,1
337843617,0.0,2
318010019,0.0,1
248572159,0.0,1
155628057,0.0,1
173833906,0.0,1
14302349,0.0,5
154651118,0.0,2
168581586,0.0,1
72943832,0.0,1
402654086,0.0,1
50331723,0.0,1
53689650,0.0,1
86399559,0.0,2
51079253,0.0,1
255245793,0.0,1
289523682,0.0,2
235699429,0.0,1
393345636,0.0,1
146844557,0.0,1
65096329,0.0,12
42867229,0.0,2
225294268,0.0,1
42517002,0.0,1
158325149,0.0,1
73613867,0.0,1
259103657,0.0,1
223593514,0.0,1
158954772,0.0,1
92595275,0.0,1
43927862,0.0,1
246200019,0.0,1
301387020,0.0,1
30976289,0.0,1
357418183,0.0,4
373408880,0.0,1
155711228,0.0,1
319259077,0.0,1
282987086,0.0,1
175750504,0.0,1
230738799,0.0,2
267675723,0.0,1
376283456,0.0,1
157028627,0.0,1
53763181,0.0,7
88615326,0.0,2
267429078,0.0,1
12471673,0.0,2
269438865,0.0,3
331245551,0.0,13
362190950,0.0,1
388225576,0.0,1
166274666,0.0,1
257520759,0.0,1
17714047,0.0,2
54905694,0.0,2
390232790,0.0,1
58913619,0.0,1
330042980,0.0,2
254931445,0.0,5
332181641,0.0,3
152929390,0.0,1
276347582,0.0,3
303205878,0.0,30
22600273,0.0,7
70187119,0.0,1
231285400,0.0,1
399189498,0.0,3
303509133,0.0,1
62448336,0.0,2
80711714,0.0,2
390406171,0.0,1
5944284,0.0,1
327718235,0.0,3
369918126,0.0,1
187708728,0.0,3
179307802,0.0,1
205119186,0.0,1
55713820,0.0,1
277218748,0.0,3
309213750,0.0,2
305602451,0.0,1
125040457,0.0,9
296787913,0.0,1
253276010,0.0,1
174291014,0.0,1
368762459,0.0,1
311907141,0.0,1
379626736,0.0,1
27805246,0.0,1
8584413,0.0,1
208043094,0.0,6
235273829,0.0,1
128346306,0.0,1
235238503,0.0,2
290716214,0.0,1
215246481,0.0,4
355471317,0.0,2
316696725,0.0,1
397468118,0.0,3
139556307,0.0,1
73007012,0.0,2
110395743,0.0,1
250353416,0.0,2
230041075,0.0,1
285390536,0.0,1
330549437,0.0,2
285494031,0.0,2
136571595,0.0,1
355958500,0.0,4
284731436,0.0,1
2292919,0.0,1
331282727,0.0,1
42105871,0.0,1
208143706,0.0,3
204767843,0.0,1
222030163,0.0,1
101111838,0.0,2
216181223,0.0,4
286670147,0.0,1
311886709,0.0,1
210384374,0.0,2
218189196,0.0,1
198917554,0.0,2
216918782,0.0,1
220149930,0.0,1
259225988,0.0,1
106762323,0.0,2
170902490,0.0,1
256845501,0.0,1
118710812,0.0,2
62954417,0.0,1
101701472,0.0,1
186645844,0.0,1
324982308,0.0,1
167704779,0.0,1
241092989,0.0,1
212655596,0.0,1
157631184,0.0,1
283291436,0.0,1
163325407,0.0,6
252397135,0.0,1
255932289,0.0,1
160626939,0.0,3
77652642,0.0,1
257415863,0.0,1
295007979,0.0,7
48616203,0.0,1
20524994,0.0,2
282772530,0.0,1
81697123,0.0,1
391050846,0.0,1
319220010,0.0,2
99879771,0.0,2
146074959,0.0,1
191608058,0.0,5
384537282,0.0,4
10332718,0.0,1
125584004,0.0,1
210366568,0.0,2
206843183,0.0,1
162086429,0.0,1
172726455,0.0,1
89307459,0.0,1
354253318,0.0,1
187243419,0.0,1
317792322,0.0,2
293417743,0.0,3
317119404,0.0,1
395003118,0.0,2
288418808,0.0,1
383446339,0.0,4
387265863,0.0,2
133686898,0.0,1
126732902,0.0,1
373594584,0.0,2
263712003,0.0,1
58522387,0.0,1
369289911,0.0,1
112316184,0.0,1
218343176,0.0,1
317096624,0.0,3
326440418,0.0,1
396609904,0.0,9
319384483,0.0,1
200707584,0.0,1
186784052,0.0,1
248582394,0.0,1
197318960,0.0,1
171915195,0.0,3
233890763,0.0,3
342381881,0.0,3
390454052,0.0,2
393664599,0.0,5
364724729,0.0,1
161000646,0.0,1
212947750,0.0,1
307787729,0.0,1
133612748,0.0,1
101415143,0.0,1
23606905,0.0,9
48243732,0.0,1
216681084,0.0,1
169058848,0.0,2
253362906,0.0,1
211554398,0.0,1
366744734,0.0,1
279262095,0.0,1
20508466,0.0,1
194124614,0.0,1
260663094,0.0,1
215312504,0.0,2
256822103,0.0,2
230881126,0.0,1
326203664,0.0,1
41444096,0.0,1
375487395,0.0,1
221145974,0.0,3
136642609,0.0,2
281073717,0.0,3
262176479,0.0,1
216776169,0.0,1
289583352,0.0,1
76227266,0.0,1
51716394,0.0,2
306796370,0.0,1
17330996,0.0,1
2537443,0.0,1
237362248,0.0,1
45335776,0.0,1
102151160,0.0,1
110860515,0.0,1
372529370,0.0,2
